,price,powerStatusD,furnishedD,bathD,transactionTypeD,propTypeD,bedroomD,waterStatus,isPrimeLocProp,floorNo,floors,amenitiesCount,floorRatio
999,660000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,8.0,12.0,10.0,0.6666666666666666
1000,500000000,No/Rare Powercut,Unfurnished,1,Resale,Apartment,1,Water Availability 6 Hours Available,N,5.0,23.0,5.0,0.21739130434782608
1001,4400000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,1.0,3.0,7.0,0.3333333333333333
1002,11500000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,3,Water Availability 6 Hours Available,N,1.0,7.0,14.444773175542407,0.14285714285714285
1003,10500000,No/Rare Powercut,Unfurnished,1,Resale,Residential House,1,Water Availability 24 Hours Available,Y,1.0,1.0,7.0,1.0
1004,8000000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,22.0,45.0,33.0,0.4888888888888889
1005,11000000,No/Rare Powercut,Semi-Furnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,9.0,30.0,22.0,0.3
1006,16000000,No/Rare Powercut,Semi-Furnished,4,New Property,Apartment,4,Water Availability 24 Hours Available,N,11.0,41.0,58.0,0.2682926829268293
1007,105000000,No/Rare Powercut,Unfurnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,Y,5.0,27.0,15.0,0.18518518518518517
1008,103000000,No/Rare Powercut,Unfurnished,5,Resale,Apartment,6,Water Availability 24 Hours Available,Y,11.0,12.0,23.0,0.9166666666666666
1009,15000000,No/Rare Powercut,Furnished,2,Resale,Apartment,1,Water Availability 24 Hours Available,Y,2.0,15.0,3.0,0.13333333333333333
1010,35000000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,12.0,15.0,10.0,0.8
