,price,bathD,bedroomD,landAreaUnitD,floorNo,floors,2 To 4 Hours Powercut,Less Than 2 Hour Powercut,No/Rare Powercut,Furnished,Semi-Furnished,Unfurnished,Apartment,Builder Floor Apartment,Penthouse,Residential House,Villa,New Property,Other,Rent,Resale,Water Availability 1 Hour Available,Water Availability 12 Hours Available,Water Availability 2 Hours Available,Water Availability 24 Hours Available,Water Availability 6 Hours Available,N,Y,amenitiesCount,floorRatio
674,24000000,2,2,sqft,4.0,5.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4.0,0.8
675,56000000,3,3,sqft,39.0,50.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.0,0.78
676,40000000,3,3,sqft,38.0,61.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,29.0,0.6229508196721312
677,42500000,2,2,sqft,9.0,22.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,24.0,0.4090909090909091
678,105000000,2,2,sqft,13.0,21.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,12.0,0.6190476190476191
679,12000000,2,1,sqft,11.0,19.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,19.0,0.5789473684210527
680,18500000,1,1,sqft,5.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,21.0,0.7142857142857143
681,91100000,5,3,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13.0,0.4912764960158325
682,17100000,2,2,sqft,18.0,36.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,15.0,0.5
683,11000000,2,2,sqft,6.0,12.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11.0,0.5
684,24500000,4,4,sqft,18.0,32.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,20.0,0.5625
685,10600000,2,2,sqft,23.0,38.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.0,0.6052631578947368
686,17900000,4,3,sqft,18.0,20.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,21.0,0.9
687,16300000,2,3,sqft,35.0,37.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.0,0.9459459459459459
688,15700000,2,2,sqft,15.0,22.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,19.0,0.6818181818181818
689,35500000,3,3,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.0,0.4912764960158325
690,17000000,2,1,sqft,8.0,22.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,21.0,0.36363636363636365
691,75000000,3,3,sqft,10.0,18.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,15.0,0.5555555555555556
692,52000000,2,2,sqft,3.0,42.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,18.0,0.07142857142857142
